p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,30,4750,Tier 1,Biogas - ADG,Buffalo BioEnergy,2554,New,Sustainable BioPower LLC,Quasar Energy Group,,Erie,Operational,10,14224,NY,4750,1.24,2023-01-20T00:00:00.000,1.24,POINT (-78.76835 42.83785),,,,,2017,Western New York,West,,,,,N/A,,
,,33271,Tier 1,Solar,Branscomb Solar,RESRFP17-1,New,"Branscomb Solar, LLC",MN8 Energy,,Washington,Operational,20,12834,NY,39925,20,2023-01-20T00:00:00.000,19.99,POINT (-73.49696 43.08752),SEQR,,,,2022,Capital Region,Capital,78,731,,,323811,,
,14.84,1975,Tier 1,Hydroelectric,Belfort Unit 3,3257,Existing,Erie Boulelvard Hydropower LP,Brookfield Renewable,,Lewis,Operational,19,13327,NY,1975,0.36,2023-01-20T00:00:00.000,0.34,POINT (-75.39118 43.89781),,,,,2016,North Country,Mohawk Valley,,,Upgrade,,24048,,
,21.75,229873,Tier 1,Land Based Wind,Arkwright Summit,2985,New,Arkwright Summit Wind Farm LLC,EDF Renewables Development,,Chautauqua,Operational,20,14063,NY,229873,78.4,2023-01-20T00:00:00.000,75.58,POINT (-79.33186 42.44029),,,,,2020,Western New York,West,,,,,323751,,
,20,474,Non-Tier 1,Hydroelectric,Wappingers Falls,1851,,,,,Dutchess,Completed,10,12590,NY,474,0.12,2023-01-20T00:00:00.000,0.11,POINT (-73.91438 41.59714),,,,,2011,Mid-Hudson,Hudson Valley,,,,,,,
,14.62,684,Non-Tier 1,Hydroelectric,Taylorville Hydro,1851,,,,,Lewis,Completed,10,13327,NY,684,0.1,2023-01-20T00:00:00.000,0.1,POINT (-75.39118 43.89781),,,,,2011,North Country,Mohawk Valley,,,,,24048,,
,19.5,11677,Non-Tier 1,Hydroelectric,Stuyvesant Falls,1851,,,,,Columbia,Completed,10,12173,NY,11677,6,2023-01-20T00:00:00.000,5.7,POINT (-73.78433 42.3879),,,,,2013,Capital Region,Capital,,,,,,,
,30,1606,Non-Tier 1,Fuel Cell,Stop and Shop Clean Energy Project - Mt. Vernon,2554,,,,,Westchester,Operational,10,10550,NY,1606,0.26,2023-01-20T00:00:00.000,0.25,POINT (-73.83827 40.91245),,,,,2015,Mid-Hudson,Dunwoodie,,,,,,,
,9.24,11609,Non-Tier 1,Hydroelectric,Stewarts Bridge Hydro (Upgrade),1681,,,,,Saratoga,Completed,10,12822,NY,11609,2.9,2023-01-20T00:00:00.000,2.76,POINT (-73.83128 43.24434),,,,,2011,Capital Region,Capital,,,,,24058,,
,19.75,10491,Non-Tier 1,Hydroelectric,Stewarts Bridge,2226,,,,,Saratoga,Operational,10,12822,NY,10491,2.6,2023-01-20T00:00:00.000,2.49,POINT (-73.83128 43.24434),,,,,2013,Capital Region,Capital,,,,,24058,,
,20,37430,Non-Tier 1,Land Based Wind,Steel Winds II,1851,,,,,Erie,Completed,10,14218,NY,37430,15,2023-01-20T00:00:00.000,14,POINT (-78.82774 42.81977),,,,,2012,Western New York,West,,,,,323693,,
,2.74,3115,Non-Tier 1,Hydroelectric,Spier Falls,916,,,,,Saratoga,Completed,10,12822,NY,3582,0.8,2023-01-20T00:00:00.000,,POINT (-73.83128 43.24434),,,,,2006,Capital Region,Capital,,,,,24058,,
